Applicant,Edu_Parent1,Edu_Parent2,Sex,White,Asian,HSGPA,SAT_ACT,College,Admitted,Enrolled,College_GPA
3698,7,7,F,0,0,3.95,1210,Arts & Letters,Yes,No,
3699,7,4,F,1,0,4.15,1360,Arts & Letters,Yes,No,
3716,2,7,F,1,0,3.18,1110,Arts & Letters,Yes,Yes,2.838
3739,6,5,F,0,0,4.28,1550,Arts & Letters,Yes,No,
3743,6,7,F,1,0,3.95,1360,Arts & Letters,Yes,No,
3750,6,6,F,0,0,4.13,1050,Arts & Letters,Yes,No,
3756,3,6,F,1,0,4.09,1310,Arts & Letters,Yes,No,
3766,3,7,F,1,0,3.71,1430,Arts & Letters,Yes,No,
3769,7,7,F,1,0,4.36,1410,Arts & Letters,Yes,No,
3775,4,7,F,1,0,4.1,1480,Arts & Letters,Yes,No,
3782,4,5,F,0,0,4.11,1190,Arts & Letters,Yes,No,
3788,4,7,F,1,0,3.69,1350,Arts & Letters,Yes,No,
3794,7,7,F,1,0,4.33,1560,Arts & Letters,Yes,No,
3795,4,6,F,0,0,3.41,1280,Arts & Letters,Yes,No,
3800,7,6,M,1,0,3.92,1280,Arts & Letters,Yes,No,
3812,7,7,F,0,0,4,1460,Arts & Letters,Yes,No,
3823,1,4,F,0,0,3.73,1360,Arts & Letters,Yes,No,
3824,7,5,F,1,0,3.8,1030,Arts & Letters,Yes,No,
3825,4,3,F,1,0,4.04,1180,Arts & Letters,Yes,Yes,3.252
3836,6,6,F,1,0,3.78,1230,Arts & Letters,Yes,Yes,3.161
3844,4,3,M,1,0,3.68,1380,Arts & Letters,Yes,No,
3867,6,6,M,1,0,3.8,1320,Arts & Letters,Yes,No,
3876,7,6,M,1,0,3.7,1340,Arts & Letters,Yes,Yes,3.176
3877,7,6,F,0,0,3.86,1420,Arts & Letters,Yes,No,
3880,4,7,F,1,0,3.83,1340,Arts & Letters,Yes,No,
3883,1,7,F,0,0,4.24,1430,Arts & Letters,Yes,No,
3889,7,7,F,1,0,3.29,1200,Arts & Letters,Yes,No,
3903,7,4,F,0,0,3.41,1270,Arts & Letters,Yes,No,
3906,5,5,F,1,0,3.65,1150,Arts & Letters,Yes,Yes,2.644
3927,6,7,F,1,0,3.5,1040,Arts & Letters,Yes,No,
3930,6,6,F,1,0,4.19,1470,Arts & Letters,Yes,No,
3940,1,3,F,0,0,4.28,1030,Arts & Letters,Yes,No,
3944,7,6,F,1,0,3.9,1340,Arts & Letters,Yes,Yes,3.717
3967,1,3,F,0,0,3.28,1100,Arts & Letters,Yes,Yes,1.92
3968,3,6,F,0,0,4.27,1140,Arts & Letters,Yes,No,
3996,7,7,M,0,0,3.79,1430,Arts & Letters,Yes,No,
4013,6,6,F,1,0,4.17,1280,Arts & Letters,Yes,Yes,3.851
4017,6,3,M,1,0,3.45,1330,Arts & Letters,Yes,No,
4029,7,7,F,0,0,3.5,1280,Arts & Letters,Yes,Yes,2.402
4039,6,6,F,1,0,4.05,1370,Arts & Letters,Yes,No,
4041,3,6,F,1,0,3.42,1130,Arts & Letters,Yes,Yes,3.145
4056,6,7,F,1,0,3.89,1120,Arts & Letters,Yes,Yes,3.584
4060,6,5,M,1,0,3.27,1220,Arts & Letters,Yes,Yes,2.853
4073,7,7,M,0,0,4,1360,Arts & Letters,Yes,No,
4077,6,7,F,0,0,3.86,1160,Arts & Letters,Yes,No,
4091,4,5,F,0,0,4,1220,Arts & Letters,Yes,No,
4097,3,6,F,1,0,4.3,1250,Arts & Letters,Yes,No,
4098,4,3,M,1,0,4.3,1400,Arts & Letters,Yes,No,
4112,1,1,F,1,0,4,1190,Arts & Letters,Yes,No,
4120,6,4,F,1,0,3.36,1100,Arts & Letters,Yes,No,
4127,4,4,M,0,0,4.05,1230,Arts & Letters,Yes,No,
4150,3,4,F,1,0,4.27,980,Arts & Letters,Yes,No,
4154,7,7,F,1,0,3.89,1250,Arts & Letters,Yes,No,
4157,7,7,F,0,1,3.96,1270,Arts & Letters,Yes,No,
4172,6,7,F,1,0,4,1420,Arts & Letters,Yes,No,
4192,6,5,F,1,0,3.68,1120,Arts & Letters,Yes,Yes,3.221
4194,7,6,F,1,0,4,1300,Arts & Letters,Yes,No,
4196,7,7,F,1,0,4.27,1420,Arts & Letters,Yes,No,
4213,6,7,M,1,0,3.86,1150,Arts & Letters,Yes,No,
4236,7,7,F,0,1,4,1540,Arts & Letters,Yes,No,
4244,6,6,F,0,0,3.81,1230,Arts & Letters,Yes,No,
4256,6,6,F,1,0,4.09,1530,Arts & Letters,Yes,No,
4261,3,3,M,1,0,3.54,1440,Arts & Letters,Yes,No,
4270,6,6,F,1,0,4.1,1140,Arts & Letters,Yes,No,
4291,7,7,F,0,0,4.4,1500,Arts & Letters,Yes,No,
4295,2,1,F,0,1,3.82,1000,Arts & Letters,Yes,No,
4296,7,6,F,0,0,3.65,1380,Arts & Letters,Yes,No,
4302,3,1,M,0,0,4.25,1220,Arts & Letters,Yes,No,
4303,4,3,M,0,0,4.16,1460,Arts & Letters,Yes,No,
4309,7,6,F,1,0,4.09,1330,Arts & Letters,Yes,No,
4318,4,5,F,0,0,3.95,1130,Arts & Letters,Yes,No,
4324,3,4,M,0,0,3.67,1050,Arts & Letters,Yes,No,
4329,7,7,F,1,0,3.14,1440,Arts & Letters,Yes,No,
4350,4,3,F,1,0,3.33,1290,Arts & Letters,Yes,No,
4362,6,5,F,1,0,4.1,1290,Arts & Letters,Yes,Yes,3.814
4363,6,6,M,1,0,3.91,1210,Arts & Letters,Yes,No,
4364,7,7,M,1,0,3.55,1320,Arts & Letters,Yes,No,
4391,7,7,F,0,1,4.21,1430,Arts & Letters,Yes,No,
4396,3,3,M,1,0,3.71,1340,Arts & Letters,Yes,No,
4423,6,2,M,0,0,3.78,1020,Arts & Letters,Yes,No,
4430,1,2,M,0,0,3.15,1280,Arts & Letters,Yes,No,
4438,5,7,F,0,0,4.21,1140,Arts & Letters,Yes,No,
4444,1,3,M,0,0,3.65,910,Arts & Letters,Yes,Yes,2.643
4452,6,6,F,1,0,4,1250,Arts & Letters,Yes,Yes,3.587
4479,6,4,M,1,0,4,1310,Arts & Letters,Yes,No,
4481,4,6,F,1,0,3.48,1140,Arts & Letters,Yes,Yes,2.716
4487,7,6,F,1,0,3.71,1340,Arts & Letters,Yes,No,
4489,6,6,F,1,0,3.92,1390,Arts & Letters,Yes,No,
4515,4,6,M,0,0,4.14,1400,Arts & Letters,Yes,No,
4549,6,6,F,1,0,4.2,1350,Arts & Letters,Yes,Yes,3.301
4562,4,7,M,1,0,3.55,1260,Arts & Letters,Yes,No,
4564,6,6,F,0,1,4.3,1090,Arts & Letters,Yes,No,
4567,4,6,F,1,0,3.62,1260,Arts & Letters,Yes,No,
4573,7,4,M,1,0,3.75,1480,Arts & Letters,Yes,No,
4575,7,6,F,1,0,3.83,1250,Arts & Letters,Yes,No,
4577,6,6,M,1,0,3.59,1280,Arts & Letters,Yes,No,
4579,6,6,F,1,0,4.15,1270,Arts & Letters,Yes,Yes,3.676
4585,3,7,M,1,0,3.35,1380,Arts & Letters,Yes,No,
4607,3,3,F,1,0,4.17,1260,Arts & Letters,Yes,No,
4629,6,6,F,0,0,4.32,1310,Arts & Letters,Yes,No,
4640,7,7,M,0,1,3.59,1240,Arts & Letters,Yes,Yes,3.161
4642,4,4,F,1,0,3.82,1210,Arts & Letters,Yes,No,
4647,1,1,F,0,1,3.89,890,Arts & Letters,Yes,No,
4658,7,7,F,0,0,3.75,1120,Arts & Letters,Yes,Yes,3.057
4662,7,7,M,1,0,3.55,1330,Arts & Letters,Yes,No,
4674,6,7,F,1,0,4.21,1290,Arts & Letters,Yes,No,
4678,7,7,F,1,0,3.81,1280,Arts & Letters,Yes,No,
4679,6,7,F,1,0,3.55,1210,Arts & Letters,Yes,No,
4689,7,5,F,1,0,3.5,1230,Arts & Letters,Yes,No,
4694,6,7,F,1,0,4.2,1370,Arts & Letters,Yes,No,
4755,6,7,F,0,0,4.04,1180,Arts & Letters,Yes,No,
4756,7,6,F,1,0,4.05,1360,Arts & Letters,Yes,No,
4761,6,7,M,1,0,4.05,1430,Arts & Letters,Yes,No,
4764,1,2,F,0,0,3.95,1270,Arts & Letters,Yes,No,
4767,4,6,M,0,0,4.05,1230,Arts & Letters,Yes,No,
4771,2,1,F,0,0,4,1070,Arts & Letters,Yes,No,
4788,3,3,F,1,0,3.45,1170,Arts & Letters,Yes,Yes,2.921
4796,6,6,F,1,0,3.95,1130,Arts & Letters,Yes,Yes,2.586
4797,7,6,M,1,0,3.36,1210,Arts & Letters,Yes,No,
4799,6,6,F,1,0,4.12,1290,Arts & Letters,Yes,No,
4800,7,6,M,1,0,4.12,1480,Arts & Letters,Yes,No,
4808,6,6,F,1,0,3.85,1210,Arts & Letters,Yes,No,
4820,1,3,F,0,0,3.81,950,Arts & Letters,Yes,No,
4821,7,7,F,1,0,3.77,1290,Arts & Letters,Yes,No,
4832,6,6,F,1,0,3.87,1310,Arts & Letters,Yes,Yes,3.12
4842,2,4,F,0,0,3.65,1080,Arts & Letters,Yes,No,
4863,6,7,M,0,1,4.18,1290,Arts & Letters,Yes,No,
4888,6,6,F,0,0,3.67,980,Arts & Letters,Yes,No,
4891,7,7,M,1,0,3.85,1150,Arts & Letters,Yes,No,
4896,6,5,F,1,0,3.89,1350,Arts & Letters,Yes,No,
4901,7,6,F,0,0,4,1370,Arts & Letters,Yes,No,
4906,7,6,F,1,0,3.86,1370,Arts & Letters,Yes,No,
4913,7,4,M,1,0,4.09,1410,Arts & Letters,Yes,Yes,3.854
4925,1,1,M,0,0,3.78,950,Arts & Letters,Yes,No,
4930,2,1,M,0,0,4.25,920,Arts & Letters,Yes,No,
4941,7,7,M,0,0,3.3,1220,Arts & Letters,Yes,Yes,3.087
4953,6,6,F,0,0,3.85,1080,Arts & Letters,Yes,Yes,3.068
4955,6,5,F,0,1,3.75,1280,Arts & Letters,Yes,No,
4977,6,7,F,1,0,4.09,1470,Arts & Letters,Yes,No,
4981,6,7,F,1,0,3.79,1190,Arts & Letters,Yes,No,
4990,6,6,F,1,0,3.65,1030,Arts & Letters,Yes,No,
4996,5,7,F,1,0,4.17,1290,Arts & Letters,Yes,No,
5009,6,6,F,0,1,3.96,1340,Arts & Letters,Yes,No,
5018,1,1,M,0,0,3.9,1060,Arts & Letters,Yes,No,
5027,7,6,F,0,0,3.65,1300,Arts & Letters,Yes,No,
5036,7,7,F,1,0,3.41,1260,Arts & Letters,Yes,Yes,3.523
5055,7,6,F,1,0,4,1360,Arts & Letters,Yes,No,
5061,6,4,F,1,0,3.32,1090,Arts & Letters,Yes,No,
5063,6,6,M,1,0,3.82,1300,Arts & Letters,Yes,No,
5064,6,6,F,1,0,4.18,1340,Arts & Letters,Yes,No,
5073,5,6,M,1,0,3.85,1410,Arts & Letters,Yes,No,
5076,6,6,F,1,0,4.18,1480,Arts & Letters,Yes,No,
5077,7,6,F,1,0,4.15,1330,Arts & Letters,Yes,No,
5090,4,4,F,0,0,3.32,1100,Arts & Letters,Yes,No,
5092,3,6,F,0,0,4.05,1380,Arts & Letters,Yes,No,
5095,7,6,M,1,0,4.27,1430,Arts & Letters,Yes,No,
5108,6,4,F,1,0,4.32,1290,Arts & Letters,Yes,Yes,3.28
5120,7,7,M,1,0,3.46,1330,Arts & Letters,Yes,No,
5122,7,6,F,1,0,4.14,1240,Arts & Letters,Yes,No,
5123,4,7,F,1,0,4.08,1270,Arts & Letters,Yes,Yes,3.912
5137,1,1,F,0,0,3.56,1150,Arts & Letters,Yes,No,
5140,7,6,M,1,0,4.33,1290,Arts & Letters,Yes,No,
5143,6,6,F,0,1,3.81,1090,Arts & Letters,Yes,No,
5147,5,7,M,1,0,3.7,1360,Arts & Letters,Yes,No,
5152,6,7,F,1,0,4.15,1070,Arts & Letters,Yes,No,
5156,6,6,M,0,1,3.68,1240,Arts & Letters,Yes,Yes,3.248
5166,7,7,F,0,1,4.09,1210,Arts & Letters,Yes,No,
5186,5,5,F,0,1,3.92,1060,Arts & Letters,Yes,No,
5190,6,4,F,1,0,3.96,1280,Arts & Letters,Yes,Yes,3.674
5198,7,6,F,1,0,3.65,1360,Arts & Letters,Yes,No,
5203,6,6,M,1,0,4.14,1420,Arts & Letters,Yes,No,
5219,6,4,F,1,0,3.45,1190,Arts & Letters,Yes,No,
5224,7,4,F,1,0,3.4,1270,Arts & Letters,Yes,No,
5226,7,4,F,1,0,4.04,1300,Arts & Letters,Yes,No,
5227,7,7,F,0,1,3.71,1410,Arts & Letters,Yes,No,
5230,7,7,F,1,0,3.68,1190,Arts & Letters,Yes,Yes,3.764
5231,4,4,F,1,0,4,1400,Arts & Letters,Yes,No,
5237,7,6,F,1,0,4.27,1320,Arts & Letters,Yes,No,
5239,7,7,F,1,0,3.9,1210,Arts & Letters,Yes,No,
5245,6,6,F,1,0,3.96,1480,Arts & Letters,Yes,No,
5247,6,6,F,0,0,3.58,1180,Arts & Letters,Yes,Yes,3.466
5250,7,4,F,1,0,3.57,1440,Arts & Letters,Yes,Yes,2.43
5256,6,4,M,1,0,4,1490,Arts & Letters,Yes,No,
5257,7,6,F,0,1,4.17,1420,Arts & Letters,Yes,No,
5261,6,7,F,1,0,3.91,1170,Arts & Letters,Yes,No,
5262,7,6,F,1,0,3.18,1170,Arts & Letters,Yes,No,
5264,6,4,F,0,1,3.14,1250,Arts & Letters,Yes,Yes,2.584
5271,6,6,F,0,0,4.33,1380,Arts & Letters,Yes,No,
5273,6,6,F,1,0,4.25,1330,Arts & Letters,Yes,No,
5275,6,6,M,1,0,4,1240,Arts & Letters,Yes,Yes,3.949
5280,6,7,F,1,0,4.27,1280,Arts & Letters,Yes,No,
5286,7,4,F,0,0,4,1190,Arts & Letters,Yes,No,
5293,5,6,F,0,1,4.04,1210,Arts & Letters,Yes,Yes,3.52
5294,6,6,F,1,0,4.36,1440,Arts & Letters,Yes,No,
5301,6,6,F,1,0,3.73,1430,Arts & Letters,Yes,No,
5305,6,6,F,1,0,3.68,1420,Arts & Letters,Yes,No,
5323,7,6,F,1,0,4.05,1400,Arts & Letters,Yes,Yes,3.777
5340,7,6,F,1,0,4.13,1410,Arts & Letters,Yes,No,
5349,1,1,M,0,0,4.33,1370,Arts & Letters,Yes,No,
5351,7,7,F,1,0,3.67,1180,Arts & Letters,Yes,No,
5357,2,2,F,0,0,3.89,1130,Arts & Letters,Yes,No,
5363,3,4,F,1,0,3.95,1270,Arts & Letters,Yes,No,
5382,4,7,F,0,0,4.12,1340,Arts & Letters,Yes,No,
5387,7,7,F,0,0,4.25,1390,Arts & Letters,Yes,No,
5390,7,7,M,0,0,3.96,1480,Arts & Letters,Yes,No,
5391,7,7,F,1,0,3.91,1320,Arts & Letters,Yes,No,
5394,7,6,M,1,0,4.07,1360,Arts & Letters,Yes,No,
5404,1,1,F,0,0,4.04,1010,Arts & Letters,Yes,No,
5408,7,7,F,1,0,4.08,1440,Arts & Letters,Yes,No,
5422,6,6,F,1,0,4.27,1450,Arts & Letters,Yes,No,
5425,7,6,F,1,0,3.91,1410,Arts & Letters,Yes,No,
5445,7,6,M,0,1,3.29,1250,Arts & Letters,Yes,Yes,2.465
5464,7,7,F,1,0,4.2,1340,Arts & Letters,Yes,No,
5469,6,6,F,1,0,3.54,1370,Arts & Letters,Yes,No,
5481,7,7,M,0,0,3.5,1140,Arts & Letters,Yes,No,
5483,7,6,F,0,0,3.23,1360,Arts & Letters,Yes,No,
5485,1,1,M,0,0,3.81,990,Arts & Letters,Yes,No,
5517,2,4,M,0,1,3.55,960,Arts & Letters,Yes,Yes,1.122
5541,7,6,F,1,0,3.95,1310,Arts & Letters,Yes,No,
5543,1,1,F,0,0,3.73,980,Arts & Letters,Yes,Yes,2.646
5551,6,6,M,1,0,3.33,1240,Arts & Letters,Yes,No,
5559,6,7,F,1,0,3.82,1290,Arts & Letters,Yes,No,
5565,2,3,F,0,0,3.2,1250,Arts & Letters,Yes,Yes,3.35
5570,6,6,F,0,1,4.05,1330,Arts & Letters,Yes,No,
5574,7,6,F,1,0,4.05,1220,Arts & Letters,Yes,No,
5584,3,7,F,1,0,3.57,1140,Arts & Letters,Yes,Yes,3.482
5597,4,4,F,1,0,3.78,1260,Arts & Letters,Yes,Yes,2.495
5600,6,6,M,0,1,3.58,1250,Arts & Letters,Yes,No,
5604,7,7,F,1,0,4.33,1350,Arts & Letters,Yes,No,
5623,6,6,F,1,0,3.08,1290,Arts & Letters,Yes,Yes,2.646
5631,6,6,F,1,0,3.85,1280,Arts & Letters,Yes,No,
5661,2,2,F,0,0,3.74,1230,Arts & Letters,Yes,No,
5663,4,7,F,1,0,4.32,1540,Arts & Letters,Yes,No,
5665,3,3,F,1,0,4.5,1490,Arts & Letters,Yes,No,
5668,3,3,F,0,1,4.27,1240,Arts & Letters,Yes,No,
5699,3,2,F,0,0,3.8,960,Arts & Letters,Yes,No,
5706,7,6,M,1,0,3.65,1540,Arts & Letters,Yes,No,
5731,7,6,F,1,0,4.2,1250,Arts & Letters,Yes,No,
5741,7,6,F,1,0,4,1100,Arts & Letters,Yes,No,
5751,6,7,M,0,0,4.12,1120,Arts & Letters,Yes,No,
5752,7,7,M,0,0,4.25,1490,Arts & Letters,Yes,No,
5763,5,6,F,0,1,3.83,920,Arts & Letters,Yes,Yes,2.443
5771,6,7,M,1,0,3.58,1190,Arts & Letters,Yes,No,
5787,6,6,F,1,0,4.08,1450,Arts & Letters,Yes,Yes,3.474
5798,3,4,M,0,0,3.41,1120,Arts & Letters,Yes,No,
5809,7,7,M,1,0,4.23,1360,Arts & Letters,Yes,No,
5813,6,6,F,1,0,4.15,1380,Arts & Letters,Yes,No,
5815,4,6,F,1,0,4.14,1480,Arts & Letters,Yes,No,
5818,7,6,F,0,0,4.39,1380,Arts & Letters,Yes,No,
5828,6,6,M,0,1,3.19,1220,Arts & Letters,Yes,Yes,2.619
5832,6,4,M,0,0,3.57,1170,Arts & Letters,Yes,No,
5834,4,2,M,0,0,3.82,1260,Arts & Letters,Yes,No,
5846,7,7,M,1,0,3.68,1130,Arts & Letters,Yes,No,
5847,7,7,M,1,0,4.21,1230,Arts & Letters,Yes,No,
5855,6,4,F,1,0,3.75,1250,Arts & Letters,Yes,No,
5865,6,6,F,1,0,4,1320,Arts & Letters,Yes,Yes,3.477
5873,4,5,M,1,0,4.05,1460,Arts & Letters,Yes,No,
5874,7,7,F,0,1,3.79,1420,Arts & Letters,Yes,No,
5880,7,6,M,0,1,3.58,1210,Arts & Letters,Yes,Yes,3.319
5905,1,1,F,0,0,3.88,1080,Arts & Letters,Yes,No,
5909,7,6,F,1,0,4.17,1400,Arts & Letters,Yes,No,
5914,6,6,F,1,0,4.29,1330,Arts & Letters,Yes,No,
5939,1,1,F,0,1,4.23,990,Arts & Letters,Yes,No,
5943,5,7,F,0,0,4.09,1190,Arts & Letters,Yes,Yes,3.281
5949,7,6,F,0,0,3.95,1470,Arts & Letters,Yes,No,
5950,6,6,F,0,0,4.19,1220,Arts & Letters,Yes,No,
5958,6,7,F,1,0,4.04,1390,Arts & Letters,Yes,No,
5963,7,4,F,1,0,3.82,1370,Arts & Letters,Yes,No,
5965,7,7,F,1,0,4.27,1230,Arts & Letters,Yes,Yes,3.923
5969,6,5,F,1,0,4.14,1130,Arts & Letters,Yes,Yes,3.369
5983,1,2,F,0,0,3.67,1120,Arts & Letters,Yes,No,
5989,6,7,M,0,1,3.52,1310,Arts & Letters,Yes,No,
6000,7,6,F,1,0,4.1,1400,Arts & Letters,Yes,Yes,3.841
6003,6,7,F,1,0,2.86,1170,Arts & Letters,Yes,No,
6017,6,6,F,1,0,3.83,1340,Arts & Letters,Yes,Yes,3.346
6029,5,2,F,0,1,3.68,1130,Arts & Letters,Yes,No,
6098,6,6,F,1,0,3.75,1150,Arts & Letters,Yes,No,
6101,7,4,F,1,0,4.15,1420,Arts & Letters,Yes,No,
6105,4,4,F,1,0,3.96,1410,Arts & Letters,Yes,Yes,2.823
6107,6,6,F,0,1,4,1340,Arts & Letters,Yes,No,
6119,7,7,F,1,0,3.91,1290,Arts & Letters,Yes,Yes,3.343
6143,6,3,F,1,0,3.9,1220,Arts & Letters,Yes,Yes,3.618
6162,2,2,M,0,1,3.5,930,Arts & Letters,Yes,No,
6170,7,6,F,1,0,4,1420,Arts & Letters,Yes,No,
6193,7,7,M,1,0,3.76,1340,Arts & Letters,Yes,No,
6195,6,6,F,0,0,4.21,1140,Arts & Letters,Yes,No,
6198,6,7,M,1,0,3.31,1210,Arts & Letters,Yes,Yes,3.028
6213,7,5,M,1,0,3.88,1240,Arts & Letters,Yes,No,
6227,6,6,F,1,0,3.71,1260,Arts & Letters,Yes,Yes,2.998
6230,6,6,F,0,0,3.96,1270,Arts & Letters,Yes,No,
6239,7,6,F,1,0,4.23,1550,Arts & Letters,Yes,No,
6244,6,6,M,1,0,3.68,1270,Arts & Letters,Yes,Yes,3.502
6257,6,6,F,1,0,3.62,1270,Arts & Letters,Yes,No,
6258,6,7,F,1,0,4.09,1050,Arts & Letters,Yes,No,
6274,1,1,F,0,0,3.67,1060,Arts & Letters,Yes,No,
6277,4,6,M,1,0,3.29,1200,Arts & Letters,Yes,Yes,2.755
6317,7,7,F,1,0,3.96,1100,Arts & Letters,Yes,Yes,3.548
6319,6,6,F,1,0,4.05,1440,Arts & Letters,Yes,No,
6323,1,1,F,0,1,4.15,1000,Arts & Letters,Yes,No,
6350,7,6,M,0,1,3.42,1160,Arts & Letters,Yes,No,
6357,2,4,F,0,0,3.44,1130,Arts & Letters,Yes,No,
6360,4,4,F,0,1,3.5,1180,Arts & Letters,Yes,No,
6361,2,2,M,0,0,3.62,950,Arts & Letters,Yes,No,
6395,7,7,F,1,0,3.9,1370,Arts & Letters,Yes,No,
6396,7,6,F,1,0,3.65,1290,Arts & Letters,Yes,Yes,3.107
6408,6,6,F,1,0,3.68,1080,Arts & Letters,Yes,No,
6430,6,6,F,1,0,4.22,1320,Arts & Letters,Yes,Yes,3.788
6433,3,4,F,0,0,3.58,1240,Arts & Letters,Yes,Yes,3.181
6446,4,4,F,1,0,4.09,1310,Arts & Letters,Yes,No,
6451,4,6,M,1,0,4.14,1350,Arts & Letters,Yes,No,
6476,6,4,M,0,1,3.35,1410,Arts & Letters,Yes,No,
6488,6,7,F,1,0,3.77,1220,Arts & Letters,Yes,Yes,3.246
6507,2,4,M,0,0,3.59,1070,Arts & Letters,Yes,No,
6509,6,6,F,1,0,4.21,1370,Arts & Letters,Yes,No,
6517,6,6,F,1,0,3.96,1250,Arts & Letters,Yes,No,
6537,4,3,F,0,0,4.33,1450,Arts & Letters,Yes,No,
6565,6,4,F,0,1,3.05,1090,Arts & Letters,Yes,Yes,2.575
6573,6,6,M,0,0,3.75,1100,Arts & Letters,Yes,Yes,3.423
6581,4,3,F,1,0,3.9,1480,Arts & Letters,Yes,No,
6589,7,6,F,1,0,3.91,1190,Arts & Letters,Yes,Yes,3.353
6597,4,4,F,1,0,3.2,1250,Arts & Letters,Yes,No,
6601,6,7,F,1,0,4.15,1410,Arts & Letters,Yes,No,
6608,6,7,F,1,0,3.77,1460,Arts & Letters,Yes,No,
6614,7,5,F,1,0,4,1340,Arts & Letters,Yes,No,
6625,6,5,F,1,0,4.23,1240,Arts & Letters,Yes,Yes,3.266
6637,6,6,M,0,1,4.32,1290,Arts & Letters,Yes,No,
6640,6,6,F,1,0,3.05,1370,Arts & Letters,Yes,No,
6651,7,6,F,1,0,3.65,1350,Arts & Letters,Yes,Yes,2.193
6662,4,6,F,0,0,4,1190,Arts & Letters,Yes,Yes,3.099
6668,2,6,F,0,0,3.62,1170,Arts & Letters,Yes,No,
6707,6,6,F,1,0,4.04,1300,Arts & Letters,Yes,No,
6718,6,7,M,0,0,3.9,1440,Arts & Letters,Yes,No,
6742,6,6,F,0,0,3.45,1040,Arts & Letters,Yes,Yes,1.744
6756,6,6,F,0,1,3.86,1520,Arts & Letters,Yes,No,
6767,4,6,F,0,0,3.73,1360,Arts & Letters,Yes,Yes,3.45
6772,7,7,M,1,0,3.37,1360,Arts & Letters,Yes,Yes,2.166
6784,6,7,F,1,0,3.95,1170,Arts & Letters,Yes,Yes,3.523
6798,4,4,F,0,1,3.24,1340,Arts & Letters,Yes,Yes,2.499
6799,5,6,M,0,1,3.46,1080,Arts & Letters,Yes,Yes,1.856
6825,7,6,F,1,0,3.77,1110,Arts & Letters,Yes,Yes,3.217
6827,6,6,F,1,0,3.75,1100,Arts & Letters,Yes,No,
6830,7,4,F,0,0,3.79,1140,Arts & Letters,Yes,Yes,3.195
6838,7,7,F,1,0,4.23,1560,Arts & Letters,Yes,No,
6845,7,7,F,0,0,3.6,1320,Arts & Letters,Yes,No,
6865,4,6,M,0,0,3.96,1210,Arts & Letters,Yes,No,
6886,6,6,M,1,0,3.79,1240,Arts & Letters,Yes,Yes,3.441
6889,6,4,F,0,1,3.32,1180,Arts & Letters,Yes,Yes,2.992
6908,6,7,F,1,0,4.1,1160,Arts & Letters,Yes,No,
6942,6,6,F,1,0,3.68,1150,Arts & Letters,Yes,Yes,3.233
6943,6,4,F,1,0,3.84,1180,Arts & Letters,Yes,Yes,3.604
6956,7,7,F,1,0,4.17,1210,Arts & Letters,Yes,No,
6999,5,7,F,1,0,3.81,1500,Arts & Letters,Yes,No,
7057,7,6,M,0,0,3.39,1360,Arts & Letters,Yes,Yes,3.434
7059,5,7,F,1,0,3.05,1350,Arts & Letters,Yes,No,
7067,6,6,F,1,0,4.05,1280,Arts & Letters,Yes,Yes,3.338
7071,7,7,M,1,0,3.92,1350,Arts & Letters,Yes,No,
7078,7,6,M,0,0,3.75,1330,Arts & Letters,Yes,No,
7079,4,6,F,1,0,3.59,1470,Arts & Letters,Yes,No,
7105,7,6,F,1,0,4.05,1420,Arts & Letters,Yes,No,
7131,7,7,F,1,0,4.19,1530,Arts & Letters,Yes,No,
7165,6,3,F,0,1,3.95,1230,Arts & Letters,Yes,No,
7182,5,5,M,0,0,3.75,1150,Arts & Letters,Yes,Yes,3.457
7216,6,6,F,1,0,4.24,1260,Arts & Letters,Yes,No,
7225,7,6,F,1,0,4.17,1410,Arts & Letters,Yes,No,
7227,6,5,F,0,0,4.36,1370,Arts & Letters,Yes,No,
7256,6,6,F,1,0,4.17,1400,Arts & Letters,Yes,No,
7261,7,6,M,1,0,3.67,1210,Arts & Letters,Yes,Yes,3.805
7270,7,6,M,0,0,4,1200,Arts & Letters,Yes,Yes,2.982
7304,7,7,F,1,0,3.68,1250,Arts & Letters,Yes,No,
7311,7,7,M,1,0,3.12,1360,Arts & Letters,Yes,Yes,3.011
7312,4,6,F,0,0,3.83,1540,Arts & Letters,Yes,No,
7321,7,6,F,0,0,3.72,1480,Arts & Letters,Yes,No,
7344,7,7,F,0,0,3.46,1330,Arts & Letters,Yes,No,
7355,6,7,F,1,0,4.21,1470,Arts & Letters,Yes,No,
7357,6,6,F,1,0,4,1460,Arts & Letters,Yes,No,
7360,6,6,M,1,0,3.41,1270,Arts & Letters,Yes,No,
7362,7,6,M,1,0,3.92,1470,Arts & Letters,Yes,No,
7366,6,6,F,1,0,3.73,1270,Arts & Letters,Yes,No,
7376,7,7,F,1,0,3.78,1100,Arts & Letters,Yes,Yes,3.058
7379,6,6,F,1,0,3.5,1260,Arts & Letters,Yes,No,
7385,7,6,F,1,0,3.95,1150,Arts & Letters,Yes,Yes,3.504
7388,2,1,F,1,0,3.14,990,Arts & Letters,Yes,No,
7389,6,6,F,1,0,3.7,1330,Arts & Letters,Yes,No,
7391,4,6,M,1,0,3.7,1190,Arts & Letters,Yes,Yes,3.065
7407,6,7,F,1,0,4.09,950,Arts & Letters,Yes,No,
7417,7,7,F,1,0,3.88,1150,Arts & Letters,Yes,No,
